index,budget,genres,id,original_language,original_title,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,cast,director
0,237000000,Action Adventure Fantasy Science Fiction,19995,en,Avatar,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,2787965087,162.0,Released,Avatar,7.2,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,300000000,Adventure Fantasy Action,285,en,Pirates of the Caribbean: At World's End,139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,961000000,169.0,Released,Pirates of the Caribbean: At World's End,6.9,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,245000000,Action Adventure Crime,206647,en,Spectre,107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,880674609,148.0,Released,Spectre,6.3,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,250000000,Action Crime Drama Thriller,49026,en,The Dark Knight Rises,112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,1084939099,165.0,Released,The Dark Knight Rises,7.6,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,260000000,Action Adventure Science Fiction,49529,en,John Carter,43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,284139100,132.0,Released,John Carter,6.1,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,258000000,Fantasy Action Adventure,559,en,Spider-Man 3,115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,890871626,139.0,Released,Spider-Man 3,5.9,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,260000000,Animation Family,38757,en,Tangled,48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,591794936,100.0,Released,Tangled,7.4,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,280000000,Action Adventure Science Fiction,99861,en,Avengers: Age of Ultron,134.27922900000002,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,1405403694,141.0,Released,Avengers: Age of Ultron,7.3,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,250000000,Adventure Fantasy Family,767,en,Harry Potter and the Half-Blood Prince,98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2009-07-07,933959197,153.0,Released,Harry Potter and the Half-Blood Prince,7.4,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,250000000,Action Adventure Fantasy,209112,en,Batman v Superman: Dawn of Justice,155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,873260194,151.0,Released,Batman v Superman: Dawn of Justice,5.7,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
